LIB,CAT
PAIEMENT TPE PORTEUR UIB BARS LE 716,Bars
PAIEMENT TPE PORTEUR UIB RESTURANTS PAPA JHONS FLAMINGO  SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS CNMT,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CARREFOUR/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  SIDI KHELIFA/ SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  EZZAHRA/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS SOCIETE THE CHILL,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  EZZAHRA/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS SOCIETE THE CHILL,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB BAKERIES SOCIETE  SOUAD  DIFFUSIO,Bakerise
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CENTRE X/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB SEAFOOD and MEAT/FOOD STORES BOUCHERIE ADEL CHOYAKH,Meat & fish
"PAIEMENT TPE PORTEUR UIB DISCOTHEQUE,NIGHT CLUB,CABARET ET BAR SKY BAR SARL",Bars
PAIEMENT TPE PORTEUR UIB BARS LE 716,Bars
PAIEMENT TPE PORTEUR UIB FAST FOOD REST. LA BOULE D OR,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES PATISS MASMOUDI LA MARSA,Bakerise
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LE KRAM/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS SIPAH REST LE PIRATE,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB BAKERIES SOCIETE  SOUAD  DIFFUSIO,Bakerise
PAIEMENT TPE PORTEUR UIB RESTURANTS STE BBM RESTAURATION,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB BAKERIES STE  RAIS DE COMMERCE,Bakerise
PAIEMENT TPE PORTEUR UIB RESTURANTS STE 101 SARL,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LA MARSA/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS STREET FOOD SOLUTIONS,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB BAKERIES PATISSERIE MASMOUDI  LA,Bakerise
PAIEMENT TPE PORTEUR UIB RESTURANTS STE LICOSA,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT PANORAMA _,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS SMUG S LAC/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  ENNASR/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS THE SQUARE / SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LAOUINA/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS STE FRIENDS COMPANY,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CARTHAGE/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  BARDO/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS CHILIS EL MANAR / SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS FAST FOOD AMIGOS/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS PIZZERIA HAMHAMA/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT COIN DE LA MER,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS FOOD FASHION,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE AV DE PARIS/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT DAR BELHADJ,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT EL BACH HEFDHI,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  HANNIBAL/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  MANOUBA/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS CAFE RESTAURANT L'ORIENT,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BEN MANSOUR ISKANDAR,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  GABES/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB BARS LE 716,Bars
PAIEMENT TPE PORTEUR UIB RESTURANTS PAPA JHONS FLAMINGO  SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS CNMT,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CARREFOUR/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  SIDI KHELIFA/ SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  EZZAHRA/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS SOCIETE THE CHILL,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  EZZAHRA/SODEXO,"Restaurants, Fast Food & Coffee shops"
PAIEMENT TPE PORTEUR UIB RESTURANTS SOCIETE THE CHILL,"Restaurants, Fast Food & Coffee shops"
